logIncome,age,expYears,variableShare,recentGrowth,yearsSinceSwitch,isSalaried,isProfessional,isBusiness,isMetro,target_logGrowth
14.122503115778127,34,12,1.0,0.0,1,0,0,1,0,0.187401
14.309903883288287,35,13,1.0,0.187401,3,0,0,1,0,0.167351
14.477254426743539,36,14,1.0,0.167351,5,0,0,1,0,-0.016512
14.46074291050257,37,15,1.0,-0.016512,7,0,0,1,0,-0.710764
13.749978719150473,38,16,1.0,-0.710764,9,0,0,1,0,-1.317053
12.432925474804692,39,17,1.0,-1.317053,11,0,0,1,0,0.158151
12.591076386222774,40,18,1.0,0.158151,13,0,0,1,0,0.49885
13.089926547847027,41,19,1.0,0.49885,15,0,0,1,0,0.862055
13.9519813051845,42,20,1.0,0.862055,17,0,0,1,0,-0.435971
13.516010305863972,43,21,1.0,-0.435971,19,0,0,1,0,-1.729178
11.786832092121163,44,22,1.0,-1.729178,21,0,0,1,0,0.632996
12.419828325338527,45,23,1.0,0.632996,23,0,0,1,0,0.882098
13.301926556100112,46,24,1.0,0.882098,25,0,0,1,0,0.549642
13.851568194336405,47,25,1.0,0.549642,0,0,0,1,0,0.795087
14.646654839664576,48,26,1.0,0.795087,0,0,0,1,0,1.290239
15.936893402141521,49,27,1.0,1.290239,2,0,0,1,0,1.067938
11.002099841204238,28,6,0.0871,0.0,1,1,0,0,0,0.0
11.002099841204238,29,7,0.0871,0.0,3,1,0,0,0,0.0
11.002099841204238,30,8,0.0871,0.0,0,1,0,0,0,0.0
11.002099841204238,31,9,0.0871,0.0,2,1,0,0,0,0.0
11.002099841204238,32,10,0.0871,0.0,4,1,0,0,0,0.0
11.002099841204238,33,11,0.0871,0.0,6,1,0,0,0,0.0
11.002099841204238,34,12,0.0871,0.0,8,1,0,0,0,0.0
11.002099841204238,35,13,0.0871,0.0,10,1,0,0,0,0.180302
11.182401586159001,36,14,0.0871,0.180302,12,1,0,0,0,0.03378
11.21618185334715,37,15,0.0871,0.03378,14,1,0,0,0,0.147502
11.363683483488588,38,16,0.0871,0.147502,16,1,0,0,0,0.197357
11.561040887083076,39,17,0.0871,0.197357,0,1,0,0,0,0.271704
11.83274482259034,40,18,0.0871,0.271704,0,1,0,0,0,0.074111
11.906855615360211,41,19,0.0871,0.074111,2,1,0,0,0,0.334526
12.241381970016848,42,20,0.0871,0.334526,4,1,0,0,0,0.134067
12.375448949060317,43,21,0.0871,0.134067,6,1,0,0,0,-0.142742
11.211369895557516,34,12,0.2402,0.0,1,1,0,0,0,0.133739
11.345108872687451,35,13,0.2402,0.133739,0,1,0,0,0,0.102183
11.447292136664327,36,14,0.2402,0.102183,2,1,0,0,0,0.034907
11.482199513708624,37,15,0.2402,0.034907,4,1,0,0,0,0.019975
11.502174535080751,38,16,0.2402,0.019975,6,1,0,0,0,0.208625
11.710799887016096,39,17,0.2402,0.208625,8,1,0,0,0,0.070957
11.781757090304508,40,18,0.2402,0.070957,10,1,0,0,0,-0.192145
11.589612088983838,41,19,0.2402,-0.192145,12,1,0,0,0,-0.07555
11.514062501514616,42,20,0.2402,-0.07555,14,1,0,0,0,0.128087
11.642149940593612,43,21,0.2402,0.128087,16,1,0,0,0,0.280672
11.922821782497603,44,22,0.2402,0.280672,18,1,0,0,0,0.045797
11.96861889127162,45,23,0.2402,0.045797,20,1,0,0,0,-0.052112
11.916506455782605,46,24,0.2402,-0.052112,22,1,0,0,0,0.135634
12.05214034297922,47,25,0.2402,0.135634,24,1,0,0,0,0.016294
12.06843443482817,48,26,0.2402,0.016294,26,1,0,0,0,-0.117976
11.950458524935177,49,27,0.2402,-0.117976,28,1,0,0,0,-0.109727
11.02637236554086,28,6,0.3919,0.0,1,0,0,1,0,-0.024273
11.002099841204238,29,7,0.3919,-0.024273,1,0,0,1,0,0.0
11.002099841204238,30,8,0.3919,0.0,1,0,0,1,0,0.0
11.002099841204238,31,9,0.3919,0.0,1,0,0,1,0,0.347843
11.349942379575312,32,10,0.3919,0.347843,0,0,0,1,0,0.794581
12.144522981788587,33,11,0.3919,0.794581,0,0,0,1,0,-0.109886
12.034636638090117,34,12,0.3919,-0.109886,0,0,0,1,0,1.206822
13.241458309589536,35,13,0.3919,1.206822,0,0,0,1,0,0.193767
13.435225645341808,36,14,0.3919,0.193767,1,0,0,1,0,-0.11484
13.320385765265444,37,15,0.3919,-0.11484,1,0,0,1,0,0.288616
13.609002259485392,38,16,0.3919,0.288616,0,0,0,1,0,-0.973159
12.635843519840328,39,17,0.3919,-0.973159,1,0,0,1,0,-0.384775
12.251068137828828,40,18,0.3919,-0.384775,0,0,0,1,0,-0.414
11.837068210479766,41,19,0.3919,-0.414,1,0,0,1,0,0.258366
12.095433715232206,42,20,0.3919,0.258366,1,0,0,1,0,0.55095
12.646383928916153,43,21,0.3919,0.55095,1,0,0,1,0,0.304444
12.658423335509035,34,12,0.0842,0.0,1,1,0,0,0,0.100626
12.759049640851288,35,13,0.0842,0.100626,3,1,0,0,0,0.096464
12.855513653781697,36,14,0.0842,0.096464,5,1,0,0,0,0.230076
13.08558923345409,37,15,0.0842,0.230076,7,1,0,0,0,0.025315
13.110904174154124,38,16,0.0842,0.025315,9,1,0,0,0,0.045422
13.156326145133175,39,17,0.0842,0.045422,11,1,0,0,0,-0.044222
13.112104389023456,40,18,0.0842,-0.044222,13,1,0,0,0,-0.01655
13.095554872274176,41,19,0.0842,-0.01655,0,1,0,0,0,0.042495
13.138049443170623,42,20,0.0842,0.042495,2,1,0,0,0,0.040559
13.178608913360982,43,21,0.0842,0.040559,0,1,0,0,0,0.091133
13.269742388783785,44,22,0.0842,0.091133,0,1,0,0,0,0.194967
13.464709495343056,45,23,0.0842,0.194967,2,1,0,0,0,0.32372
13.788429135853775,46,24,0.0842,0.32372,0,1,0,0,0,0.085781
13.874210128761149,47,25,0.0842,0.085781,2,1,0,0,0,0.090715
13.964925287058549,48,26,0.0842,0.090715,4,1,0,0,0,0.171387
14.136312646741251,49,27,0.0842,0.171387,0,1,0,0,0,0.014551
13.626126281380506,30,8,0.7298,0.0,1,0,0,1,1,-0.406514
13.219612403988872,31,9,0.7298,-0.406514,1,0,0,1,1,0.528116
13.747728694562072,32,10,0.7298,0.528116,1,0,0,1,1,1.988081
15.735809374546687,33,11,0.7298,1.988081,0,0,0,1,1,0.256091
15.991899949100963,34,12,0.7298,0.256091,1,0,0,1,1,-0.444305
15.547595317840981,35,13,0.7298,-0.444305,1,0,0,1,1,-0.518411
15.029184375985077,36,14,0.7298,-0.518411,1,0,0,1,1,0.008967
15.038151392976786,37,15,0.7298,0.008967,1,0,0,1,1,-0.15849
14.879661803810926,38,16,0.7298,-0.15849,1,0,0,1,1,0.47495
15.35461158253117,39,17,0.7298,0.47495,1,0,0,1,1,0.711951
16.066563028851697,40,18,0.7298,0.711951,1,0,0,1,1,-0.36174
15.70482260500192,41,19,0.7298,-0.36174,1,0,0,1,1,0.415954
16.120776618339644,42,20,0.7298,0.415954,1,0,0,1,1,0.010296
16.131072248324116,43,21,0.7298,0.010296,1,0,0,1,1,-0.045643
16.08542900381485,44,22,0.7298,-0.045643,1,0,0,1,1,0.501105
16.586533795011054,45,23,0.7298,0.501105,0,0,0,1,1,-0.431924
12.026850901843648,24,2,0.1157,0.0,1,1,0,0,0,0.211771
12.238622227196807,25,3,0.1157,0.211771,1,1,0,0,0,0.411046
12.649668602595794,26,4,0.1157,0.411046,0,1,0,0,0,-0.062409
12.587259879064803,27,5,0.1157,-0.062409,1,1,0,0,0,-0.101472
12.485788282234527,28,6,0.1157,-0.101472,0,1,0,0,0,0.33146
12.817248006653523,29,7,0.1157,0.33146,0,1,0,0,0,0.107102
12.924350455669794,30,8,0.1157,0.107102,1,1,0,0,0,0.046165
12.970515055404618,31,9,0.1157,0.046165,1,1,0,0,0,0.398636
13.36915062860669,32,10,0.1157,0.398636,0,1,0,0,0,0.11902
13.488170787122717,33,11,0.1157,0.11902,1,1,0,0,0,-0.026587
13.461583828168225,34,12,0.1157,-0.026587,1,1,0,0,0,0.045861
13.507445098387233,35,13,0.1157,0.045861,1,1,0,0,0,0.168241
13.675686422521505,36,14,0.1157,0.168241,0,1,0,0,0,-0.060613
13.615073275442553,37,15,0.1157,-0.060613,1,1,0,0,0,0.035386
13.650458893205663,38,16,0.1157,0.035386,1,1,0,0,0,0.126835
13.777293688197403,39,17,0.1157,0.126835,1,1,0,0,0,-0.397079
13.168625616244158,33,11,0.1565,0.0,1,1,0,0,1,0.063523
13.232148698314134,34,12,0.1565,0.063523,3,1,0,0,1,0.095044
13.327192752841318,35,13,0.1565,0.095044,5,1,0,0,1,-0.136362
13.190830944784068,36,14,0.1565,-0.136362,7,1,0,0,1,0.110596
13.301426848787719,37,15,0.1565,0.110596,9,1,0,0,1,0.242585
13.544011894676624,38,16,0.1565,0.242585,11,1,0,0,1,0.004123
13.548135034377648,39,17,0.1565,0.004123,13,1,0,0,1,-0.078455
13.469679917376345,40,18,0.1565,-0.078455,15,1,0,0,1,-0.1993
13.270379687526363,41,19,0.1565,-0.1993,17,1,0,0,1,-0.002641
13.267739027455727,42,20,0.1565,-0.002641,19,1,0,0,1,0.029955
13.297693650621692,43,21,0.1565,0.029955,21,1,0,0,1,0.175246
13.472939531721883,44,22,0.1565,0.175246,0,1,0,0,1,-0.23269
